4.39012e-2, 4.34309e-4
4.86638e-2, 2.27152e-3
5.39431e-2, 3.72058e-3
5.97952e-2, 5.05874e-3
6.62821e-2, 6.61870e-3
7.34727e-2, 8.28956e-3
8.14434e-2, 9.90497e-3
9.02788e-2, 1.17422e-2
1.00073e-1, 1.35239e-2
1.10929e-1, 1.55830e-2
1.22963e-1, 1.76420e-2
1.36303e-1, 1.99782e-2
1.51090e-1, 2.24254e-2
1.67481e-1, 2.50389e-2
1.85650e-1, 2.78188e-2
2.05790e-1, 3.07095e-2
2.28115e-1, 3.40439e-2
2.52862e-1, 3.75446e-2
2.80294e-1, 4.11562e-2
3.10702e-1, 4.53778e-2
3.44408e-1, 4.97657e-2
3.81772e-1, 5.43755e-2
4.23188e-1, 5.94288e-2
4.69098e-1, 6.48148e-2
5.19988e-1, 7.07553e-2
5.76399e-1, 7.71949e-2
6.38929e-1, 8.39118e-2
7.08244e-1, 9.11276e-2
7.85078e-1, 9.74009e-2
8.70247e-1, 1.03785e-1
9.64656e-1, 1.09781e-1
1.06931e+0, 1.15500e-1
1.18531e+0, 1.22217e-1
1.31390e+0, 1.29432e-1
1.45644e+0, 1.36593e-1
1.61444e+0, 1.43809e-1
1.78958e+0, 1.51136e-1
1.98372e+0, 1.58407e-1
2.19893e+0, 1.65567e-1
2.43748e+0, 1.72728e-1
2.70191e+0, 1.79999e-1
2.99503e+0, 1.87492e-1
3.31994e+0, 1.94985e-1
3.69046e+0, 2.02893e-1
4.07934e+0, 2.10526e-1
4.52189e+0, 2.18574e-1
4.99839e+0, 2.26906e-1
5.55623e+0, 2.35723e-1
6.15900e+0, 2.44935e-1
6.82715e+0, 2.54091e-1
7.56780e+0, 2.63913e-1
8.35743e+0, 2.73327e-1
9.29885e+0, 2.83724e-1
1.03076e+1, 2.93712e-1
1.14259e+1, 3.03368e-1
1.26654e+1, 3.12857e-1
1.40394e+1, 3.21404e-1
1.55625e+1, 3.28731e-1
1.72508e+1, 3.35614e-1
1.86798e+1, 3.41205e-1
2.15974e+1, 3.51978e-1
2.31685e+1, 3.57268e-1
